feature_selection_score,random_selection_score,number_of_features,data_set,model_type
0.8240740740740742,0.8409506398537476,174,val,classification
0.8497854077253217,0.8467475192943771,174,test,classification
0.8328865058087578,0.8792626728110599,175,train,classification
0.8351063829787235,0.8398902104300091,175,val,classification
0.8241525423728814,0.8480176211453745,175,test,classification
0.8640148011100833,0.8402061855670104,176,train,classification
0.8322639780018333,0.8525149190110828,176,val,classification
0.8407367280606717,0.8503118503118503,176,test,classification
0.8794848206071757,0.8737327188940093,177,train,classification
0.8330275229357799,0.8404740200546946,177,val,classification
0.8283261802575108,0.8480176211453745,177,test,classification
0.8738404452690167,0.874538745387454,178,train,classification
0.8282265552460538,0.8420091324200913,178,val,classification
0.8506493506493507,0.8454746136865342,178,test,classification
0.8584558823529412,0.874538745387454,179,train,classification
0.8241758241758242,0.8438356164383563,179,val,classification
0.8411016949152543,0.8467475192943771,179,test,classification
0.871559633027523,0.8747697974217311,180,train,classification
0.821167883211679,0.8427787934186474,180,val,classification
0.8345626975763961,0.8436123348017621,180,test,classification
0.8707607699358387,0.8761552680221811,181,train,classification
0.8268876611418048,0.8401826484018264,181,val,classification
0.8324324324324324,0.8474204171240395,181,test,classification
0.8669131238447321,0.8753462603878116,182,train,classification
0.8350419384902145,0.8438356164383563,182,val,classification
0.8306364617044228,0.8486842105263157,182,test,classification
0.8746569075937787,0.8743068391866914,183,train,classification
0.8199445983379501,0.8430656934306571,183,val,classification
0.8457389428263214,0.8477546549835706,183,test,classification
0.8670944087992667,0.8758049678012879,184,train,classification
0.8218923933209646,0.8474885844748858,184,val,classification
0.8497854077253217,0.843956043956044,184,test,classification
0.8629254829806808,0.8741965105601468,185,train,classification
0.8241758241758242,0.8441203281677302,185,val,classification
0.8436830835117772,0.8430296377607025,185,test,classification
0.8758049678012879,0.873394495412844,186,train,classification
0.8301544050862852,0.8459434822242479,186,val,classification
0.8474576271186439,0.845225027442371,186,test,classification
0.8691674290942362,0.8741965105601468,187,train,classification
