score,number_of_features,data_set,model_type
0.9385474860335196,219,train,classification
0.8162111215834118,219,val,classification
0.830396475770925,219,test,classification
0.9385474860335196,220,train,classification
0.8173258003766478,220,val,classification
0.8294829482948295,220,test,classification
0.9387755102040817,221,train,classification
0.8136234626300851,221,val,classification
0.8220994475138121,221,test,classification
0.9488372093023256,222,train,classification
0.8162111215834118,222,val,classification
0.8219780219780219,222,test,classification
0.9471733086190918,223,train,classification
0.8162111215834118,223,val,classification
0.8232711306256861,223,test,classification
0.9490268767377201,224,train,classification
0.8120868744098205,224,val,classification
0.8202866593164277,224,test,classification
0.9536178107606679,225,train,classification
0.8113744075829383,225,val,classification
0.8159645232815965,225,test,classification
0.9546716003700277,226,train,classification
0.8076555023923444,226,val,classification
0.8197802197802198,226,test,classification
0.9516728624535317,227,train,classification
0.801913875598086,227,val,classification
0.8202866593164277,227,test,classification
0.9508804448563485,228,train,classification
0.8026819923371648,228,val,classification
0.8202866593164277,228,test,classification
0.9490268767377201,229,train,classification
0.8038277511961722,229,val,classification
0.818880351262349,229,test,classification
0.9517625231910947,230,train,classification
0.8011527377521612,230,val,classification
0.8122941822173436,230,test,classification
0.9898242368177613,231,train,classification
0.800380228136882,231,val,classification
0.8245614035087719,231,test,classification
0.9981412639405204,232,train,classification
0.792022792022792,232,val,classification
0.8157033805888768,232,test,classification
0.999071494893222,233,train,classification
0.7988614800759013,233,val,classification
0.8204570184983678,233,test,classification
1.0,234,train,classification
0.7893738140417458,234,val,classification
0.8135223555070883,234,test,classification
1.0,235,train,classification
0.7973484848484849,235,val,classification
0.8170865279299014,235,test,classification
1.0,236,train,classification
0.8041431261770245,236,val,classification
0.818880351262349,236,test,classification
1.0,237,train,classification
0.8048780487804877,237,val,classification
0.8174863387978142,237,test,classification
1.0,238,train,classification
0.8168224299065421,238,val,classification
0.8153005464480875,238,test,classification
1.0,239,train,classification
0.8130841121495326,239,val,classification
0.8143322475570033,239,test,classification
1.0,240,train,classification
0.8161350844277674,240,val,classification
0.8138528138528138,240,test,classification
1.0,241,train,classification
0.8123827392120075,241,val,classification
0.8112798264642082,241,test,classification
1.0,242,train,classification
0.8105065666041276,242,val,classification
0.8112798264642082,242,test,classification
1.0,243,train,classification
0.8033550792171482,243,val,classification
0.8184747583243823,243,test,classification
1.0,244,train,classification
0.8066604995374654,244,val,classification
0.8196371398078975,244,test,classification
1.0,245,train,classification
0.801498127340824,245,val,classification
0.8197424892703863,245,test,classification
1.0,246,train,classification
0.801498127340824,246,val,classification
0.8175965665236052,246,test,classification
1.0,247,train,classification
0.8014842300556586,247,val,classification
0.8240343347639485,247,test,classification
1.0,248,train,classification
0.8011152416356877,248,val,classification
0.8236559139784946,248,test,classification
1.0,249,train,classification
0.7958801498127341,249,val,classification
0.8185745140388768,249,test,classification
1.0,250,train,classification
0.7895229186155285,250,val,classification
0.8133764832793959,250,test,classification
1.0,251,train,classification
0.7985074626865671,251,val,classification
0.8228941684665227,251,test,classification
1.0,252,train,classification
0.7951356407857813,252,val,classification
0.8152173913043479,252,test,classification
1.0,253,train,classification
0.8003731343283581,253,val,classification
0.8203463203463204,253,test,classification
1.0,254,train,classification
0.7988826815642458,254,val,classification
0.8195652173913044,254,test,classification
1.0,255,train,classification
0.813844714686623,255,val,classification
0.8203463203463204,255,test,classification
1.0,256,train,classification
0.8126747437092265,256,val,classification
0.8212351029252438,256,test,classification
1.0,257,train,classification
0.8130232558139535,257,val,classification
0.82062298603652,257,test,classification
1.0,258,train,classification
0.8159851301115242,258,val,classification
0.8164146868250539,258,test,classification
1.0,259,train,classification
0.8192771084337349,259,val,classification
0.8198489751887811,259,test,classification
1.0,260,train,classification
0.8174235403151067,260,val,classification
0.8236559139784946,260,test,classification
1.0,261,train,classification
0.8115671641791045,261,val,classification
0.8246753246753248,261,test,classification
1.0,262,train,classification
0.8134328358208955,262,val,classification
0.8228941684665227,262,test,classification
1.0,263,train,classification
0.8168224299065421,263,val,classification
0.8246753246753248,263,test,classification
1.0,264,train,classification
0.8154425612052731,264,val,classification
0.8182807399347117,264,test,classification
1.0,265,train,classification
0.8162111215834118,265,val,classification
0.819672131147541,265,test,classification
1.0,266,train,classification
0.8135593220338982,266,val,classification
0.8254665203073545,266,test,classification
1.0,267,train,classification
0.8198874296435272,267,val,classification
0.8209606986899564,267,test,classification
1.0,268,train,classification
0.8216619981325863,268,val,classification
0.8244274809160305,268,test,classification
1.0,269,train,classification
0.8146067415730337,269,val,classification
0.8231441048034934,269,test,classification
1.0,270,train,classification
0.8101503759398495,270,val,classification
0.8193548387096774,270,test,classification
1.0,271,train,classification
0.8105065666041276,271,val,classification
0.8197424892703863,271,test,classification
1.0,272,train,classification
0.8097928436911488,272,val,classification
0.8227712137486575,272,test,classification
1.0,273,train,classification
0.8127340823970037,273,val,classification
0.8240343347639485,273,test,classification
1.0,274,train,classification
0.8105065666041276,274,val,classification
0.8220064724919095,274,test,classification
1.0,275,train,classification
0.806390977443609,275,val,classification
0.8212351029252438,275,test,classification
1.0,276,train,classification
0.8026315789473684,276,val,classification
0.8220064724919095,276,test,classification
1.0,277,train,classification
0.8026315789473684,277,val,classification
0.8241639697950378,277,test,classification
1.0,278,train,classification
0.8097928436911488,278,val,classification
0.8207343412526998,278,test,classification
1.0,279,train,classification
0.8082706766917294,279,val,classification
0.8161044613710555,279,test,classification
1.0,280,train,classification
0.8109125117591722,280,val,classification
0.815135135135135,280,test,classification
1.0,281,train,classification
0.8108614232209739,281,val,classification
0.8177874186550976,281,test,classification
1.0,282,train,classification
0.8127340823970037,282,val,classification
0.816017316017316,282,test,classification
1.0,283,train,classification
0.8082319925163705,283,val,classification
0.8203463203463204,283,test,classification
1.0,284,train,classification
0.8134957825679475,284,val,classification
0.8138528138528138,284,test,classification
1.0,285,train,classification
0.8123827392120075,285,val,classification
0.816017316017316,285,test,classification
1.0,286,train,classification
0.8160597572362277,286,val,classification
0.8147345612134345,286,test,classification
1.0,287,train,classification
0.8172446110590441,287,val,classification
0.8164146868250539,287,test,classification
1.0,288,train,classification
0.8086303939962477,288,val,classification
0.8198489751887811,288,test,classification
1.0,289,train,classification
0.813844714686623,289,val,classification
0.8172972972972973,289,test,classification
1.0,290,train,classification
0.8142589118198875,290,val,classification
0.8210075026795285,290,test,classification
1.0,291,train,classification
0.8169014084507042,291,val,classification
0.8193548387096774,291,test,classification
1.0,292,train,classification
0.813844714686623,292,val,classification
0.8197424892703863,292,test,classification
1.0,293,train,classification
0.8164026095060579,293,val,classification
0.8188638799571276,293,test,classification
1.0,294,train,classification
0.8182665424044735,294,val,classification
0.8193548387096774,294,test,classification
1.0,295,train,classification
0.8182665424044735,295,val,classification
0.8172043010752689,295,test,classification
1.0,296,train,classification
0.8215613382899628,296,val,classification
0.8265524625267666,296,test,classification
1.0,297,train,classification
0.8167441860465117,297,val,classification
0.827438370846731,297,test,classification
1.0,298,train,classification
0.8237476808905381,298,val,classification
0.8247863247863249,298,test,classification
1.0,299,train,classification
